云南省云县幸福糖业有限公司 (滇)XK13-001-00076
厦门市鹭达眼镜有限公司思明第二分公司 (闽)XK16-005-00265
厦门市湖里区东方鹭岛眼镜店(原名2:厦门市湖里区鑫视源鹭岛眼镜店/原名1:厦门市湖里区鑫视源眼镜店) (闽)XK16-005-00249
鲤城区新好视界眼镜店 (闽)XK16-005-00577
福州市仓山区燕敏宝岛眼镜店 (闽)XK16-005-00075
厦门市鹭达眼镜有限公司思明分公司 (闽)XK16-005-00265
莆田市秀屿区埭头佳视眼镜店 (闽)XK16-005-00327
长泰县永视眼镜店（原名：长泰县大明眼镜行） (闽)XK16-005-00434
南安市梅山怡容眼镜店 (闽)XK16-005-00566
厦门市思明区睿视眼镜店 (闽)XK16-005-00251
福州市台江区光学益民眼镜商行 (闽)XK16-117-00031
晋江市金井富民眼镜商店 (闽)XK16-005-00471
福清市融城新精益眼镜店 (闽)XK16-005-00290
福州市晋安区宝岛眼镜城 (闽)XK16-005-00075
屏南县古峰镇视康眼镜行 (闽)XK16-005-00271
福安市优视美眼镜经营部 (闽)XK16-005-00721
罗源县城关宝岛眼镜商店 (闽)XK16-005-00340
荔城区西天尾明廊眼镜店 (闽)XK16-005-00314
晋江市安海镇米兰眼镜店 (闽)XK16-117-00057
福州市仓山区爱博眼镜店 (闽)XK16-005-00259
厦门市鹭达眼镜有限公司 (闽)XK16-005-00265
漳浦县杜浔镇宝岛眼镜店 (闽)XK16-005-00579
厦门市集美区啊波罗眼镜店 (闽)XK16-005-00573
瑞之路（厦门）眼镜科技有限公司湖滨南路分公司 (闽)XK16-005-00741
厦门市湖里区兴好视力眼镜店 (闽)XK16-005-00572
福清市龙田新精益眼镜店 (闽)XK16-005-00290
仙游县刘元地医生眼镜店 (闽)XK16-005-00311
福州益民光学眼镜有限公司 (闽)XK16-117-00031
长汀县爱眼城眼镜店 (闽)XK16-005-00263
福州市仓山区光学益民眼镜商行 (闽)XK16-117-00031
厦门市思明区鹭仙明眼镜商店 (闽)XK16-005-00265
安溪县湖头镇富明眼镜店 (闽)XK16-005-00470
永安市茂林眼镜城 (闽)XK16-005-00328
永安市茂林眼镜城百合店 (闽)XK16-005-00328
厦门市翔安区适舒眼镜店 (闽)XK16-005-00262
霞浦县精益眼镜店 (闽)XK16-005-00266
南平市延平区宝光眼镜店 (闽)XK16-005-00510
福州市晋安区新明眼镜店 (闽)XK16-005-00570
厦门市思明区大明眼镜店 (闽)XK16-005-00250
厦门市思明区美佳兴百货店 (闽)XK16-005-00265
福建省晋江青阳新华眼镜有限公司 (闽)XK16-005-00487
惠安县中山路小林眼镜店 (闽)XK16-117-00057
晋江市东石镇玉和富民眼镜店 (闽)XK16-005-00471
寿宁县鳌阳镇阿龙眼镜店 (闽)XK16-005-00278
厦门市同安区致龙中视眼镜店 (闽)XK16-005-00387
厦门市思明区鹭达光学眼镜店 (闽)XK16-005-00265
长乐金峰宝岛眼镜店 (闽)XK16-005-00321
厦门市思明区华恩眼镜店 (闽)XK16-005-00265
福安市穆阳新容眼镜店 (闽)XK16-005-00268
南安市水头明视眼镜店 (闽)XK16-005-00754
古田县锦记眼镜店 (闽)XK16-005-00181
厦门市思明区兴成铭眼镜店 (闽)XK16-005-00544
漳浦县绥安镇东贵标准眼镜店 (闽)XK16-005-00435
鲤城区光明眼镜店 (闽)XK16-005-00576
厦门市集美区兴发鹭达眼镜店 (闽)XK16-005-00545
荔城区明视达眼镜配制中心 (闽)XK16-005-00313
城厢区佳视眼镜店 (闽)XK16-005-00327
福州市台江区燕敏宝岛眼镜店 (闽)XK16-005-00075
福州市鼓楼区协和眼镜店 (闽)XK16-117-00001
晋江市青阳肖氏新华眼镜店 (闽)XK16-005-00472
福州市鼓楼区博爱眼镜店 (闽)XK16-005-00257
厦门市翔安区阳光视线眼镜店 (闽)XK16-005-00580
莆田市城厢区友谊眼镜店 (闽)XK16-005-00316
厦门市思明区舒视眼镜店 (闽)XK16-005-00261
莆田市荔城区镇海宝岛眼镜经营部（原：荔城区镇海宝岛眼镜经营部） (闽)XK16-117-00057
漳州市芗城区炯保精益眼镜店 (闽)XK16-005-00648
宁德市蕉城区蕉北博雅眼镜超市（原名：宁德市蕉城区蕉北绿蕉光明眼镜店） (闽)XK16-005-00260
长泰县东大眼镜行 (闽)XK16-005-00253
福州市仓山区典范益民眼镜商行 (闽)XK16-117-00031
福建省安溪县新华眼镜有限公司解放路营业部 (闽)XK16-005-00129
仙游县鲤城精明眼镜店 (闽)XK16-005-00323
福州市鼓楼区新视丽眼镜商店 (闽)XK16-005-00252
晋江市磁灶镇富民眼镜店 (闽)XK16-005-00700
福州市鼓楼区爱博眼镜商店 (闽)XK16-005-00259
南安市石井镇华视眼镜店 (闽)XK16-005-00630
长乐市胜利宝岛眼镜店 (闽)XK16-005-00075
厦门市鹭达眼镜有限公司莲前分公司 (闽)XK16-005-00265
厦门市海沧区博视康眼镜店 (闽)XK16-005-00276
长乐市吴航爱视眼镜店 (闽)XK16-117-00046
福州亨得利钟表眼镜有限公司 (闽)XK16-005-00289
厦门市欧野实业有限公司 (闽)XK16-005-00675
晋江市梅岭南方精益眼镜店 (闽)XK16-005-00575
厦门市阳光视线眼镜有限公司 (闽)XK16-005-00580
福州市台江区大明眼镜店 (闽)XK16-005-00339
寿宁县鳌阳镇大光明眼镜店 (闽)XK16-005-00255
石狮市宝科眼镜店 (闽)XK16-117-00057
莆田市秀屿区笏石光明眼镜店 (闽)XK16-005-00310
泉州市鲤城区新华光眼镜店 (闽)XK16-005-00574
厦门眼科中心集团有限公司 (闽)XK16-005-00746
福州市仓山区佐田眼镜店 (闽)XK16-005-00673
漳州开发区厦大漳州校区鹭达眼镜店 (闽)XK16-005-00265
福建南安市大光明眼镜有限公司 (闽)XK16-005-00683
福州市仓山区小罗眼镜店 (闽)XK16-005-00170
城厢区老富明眼镜店 (闽)XK16-005-00094
诏安县南诏大明眼镜店 (闽)XK16-005-00153
闽侯县上街宝岛眼镜店 (闽)XK16-005-00094
厦门华视眼镜有限公司明发商业广场分店 (闽)XK16-005-00176
明溪县城关宝岛眼镜店 (闽)XK16-005-00094
城厢区明益眼镜第八经营部 (闽)XK16-005-00174
厦门华视眼镜有限公司 (闽)XK16-005-00176
莆田市城厢区益康眼镜店 (闽)XK16-005-00115
荔城区镇海明视眼镜专卖店 (闽)XK16-005-00170
古田县城关珍视眼镜店 (闽)XK16-005-00166
漳州市灵光眼镜公司 (闽)XK16-005-00064
莆田市涵江区明视眼镜城 (闽)XK16-005-00170
连锁172店（南安市诗山镇宝岛眼镜店） (闽)XK16-005-00094
古田县城关精益眼镜店 (闽)XK16-005-00182
泉州市丰泽区博视眼镜店 (闽)XK16-005-00211
涵江区海滨眼镜店 (闽)XK16-005-00116
永春县桃城镇视明宝岛眼镜店 (闽)XK16-005-00094
仙游县宝岛眼镜店 (闽)XK16-005-00094
将乐县宝岛眼镜连锁中国第181店 (闽)XK16-005-00094
福州明视眼镜城罗源分店 (闽)XK16-005-00170
宁德市东侨经济开发区康明宝岛眼镜店 (闽)XK16-005-00217
连锁182店（将乐县宝岛眼镜连锁中国第182店） (闽)XK16-005-00094
莆田市城厢区万视达眼镜中心 (闽)XK16-005-00112
厦门市湖里区张龙眼镜店 (闽)XK16-005-00170
宁化县亨得利眼镜店 (闽)XK16-005-00094
长乐博士达眼镜行 (闽)XK16-005-00195
福鼎市荣威眼镜店 (闽)XK16-005-00191
厦门市湖里区欣陈辉明视眼镜店 (闽)XK16-005-00170
三明市三元区华益眼镜行 (闽)XK16-005-00247
连江县凤城镇明视眼镜城 (闽)XK16-005-00170
厦门华视眼镜有限公司晋江分公司 (闽)XK16-005-00176
上杭县城区雅尔康眼镜店 (闽)XK16-005-00144
平潭县精益眼镜店 (闽)XK16-005-00163
莆田市秀屿区忠门新光眼镜店 (闽)XK16-005-00229
惠安县涂寨镇二胡光明眼镜店 (闽)XK16-005-00207
厦门市思明区小鹭达眼镜店 (闽)XK16-005-00085
三明市亨得利眼镜有限公司茂吕分店 (闽)XK16-117-00054
惠安县螺城新华眼镜店 (闽)XK16-005-00108
石狮市益民眼镜店 (闽)XK16-005-00121
福清市海口宝岛眼镜店 (闽)XK16-005-00094
柘荣县宝岛眼镜店 (闽)XK16-005-00094
龙海市石码光明眼镜店 (闽)XK16-117-00047
福安市亨得利眼镜店 (闽)XK16-005-00140
福州市仓山区林于爱眼眼镜店 (闽)XK16-005-00244
莆田市涵江区江口飞龙眼镜店 (闽)XK16-005-00235
上杭县城区杭宏眼镜店 (闽)XK16-005-00161
周宁县宝岛眼镜连锁店(原:周宁县狮城镇宝岛眼镜城) (闽)XK16-005-00240
泉州市丰泽区新华视眼镜店 (闽)XK16-005-00213
宁德市蕉城区宝岛眼镜店 (闽)XK16-005-00185
泉州市鲤城区丰华眼镜店 (闽)XK16-005-00208
城厢区益达眼镜店 (闽)XK16-005-00236
泉港富康电脑验光配镜中心 (闽)XK16-005-00206
福鼎市前岐亮晶眼镜店 (闽)XK16-005-00193
厦门华视眼镜有限公司漳州分公司 (闽)XK16-005-00176
新罗区精益眼镜店 (闽)XK16-005-00204
惠安县东岭宝岛眼镜店 (闽)XK16-005-00094
上杭县福选视力配镜中心 (闽)XK16-005-00130
连锁276店（浦城县宝岛眼镜连锁店） (闽)XK16-005-00094
福州宝岛眼镜有限公司厦门第一经营部 (闽)XK16-005-00094
惠安县洛阳富民眼镜店 (闽)XK16-005-00119
连锁132店（古田县宝岛眼镜店（宝岛眼镜有限公司连锁）） (闽)XK16-005-00094
连锁282店（晋江市安海镇华仔百货店） (闽)XK16-005-00094
上杭县城区新华眼镜店 (闽)XK16-005-00241
长汀县宝视眼镜店 (闽)XK16-005-00094
厦门华视眼镜有限公司集美分公司 (闽)XK16-005-00176
武平县碧水眼镜行 (闽)XK16-005-00159
福州宝岛眼镜有限公司厦门第三经营部 (闽)XK16-005-00094
龙海市石码宝岛眼镜店 (闽)XK16-005-00094
晋江市永和镇宝岛眼镜店 (闽)XK16-005-00094
长乐市吴航闽航大明眼镜店 (闽)XK16-005-00196
漳州市灵光眼镜公司胜利分店 (闽)XK16-005-00064
晋江市青阳阳光宝岛眼镜店 (闽)XK16-117-00057
连锁161店（南安市霞美宝岛眼镜店） (闽)XK16-005-00094
福州市鼓楼区海鹰眼镜店 (闽)XK16-005-00170
城厢区泉东精准眼镜店 (闽)XK16-005-00230
晋江市英林镇英龙宝岛眼镜店 (闽)XK16-005-00094
莆田市涵江区老飞龙眼镜店 (闽)XK16-005-00239
福鼎市秦屿太姥眼镜行 (闽)XK16-005-00189
福州米兰钟表眼镜有限公司 (闽)XK16-005-00137
连锁291店（诏安县金国宝岛眼镜店） (闽)XK16-005-00094
福安市易视佳眼镜店 (闽)XK16-005-00139
连锁295店（惠安县洛阳宝岛眼镜店） (闽)XK16-005-00094
城厢区老字号惠民眼镜中心 (闽)XK16-005-00113
福清市明益眼镜有限公司福清分公司 (闽)XK16-005-00174
福建惠安县新华视眼镜有限公司 (闽)XK16-005-00205
古田县城关华视眼镜店 (闽)XK16-005-00183
福州宝岛眼镜有限公司厦门第十一经营部 (闽)XK16-005-00094
宁德市蕉城区蕉北富宁眼镜店 (闽)XK16-005-00184
福州市马尾区慧明眼镜店 (闽)XK16-005-00170
福清市融城视界眼镜店 (闽)XK16-005-00215
连江县凤城镇宝岛眼镜店 (闽)XK16-005-00094
福州市琅岐经济区宝岛眼镜店 (闽)XK16-005-00094
泉州市鲤城区戴氏眼镜店 (闽)XK16-005-00212
福鼎市复明眼镜店 (闽)XK16-005-00148
莆田市城厢区明益眼镜第二经营部 (闽)XK16-005-00174
福建宝岛眼镜（连锁）有限公司福州第三经营部 (闽)XK16-005-00094
福州明视眼镜有限公司第一百经营部 (闽)XK16-005-00170
平和县宝岛眼镜行 (闽)XK16-005-00094
漳州市芗城区强富宝岛眼镜店 (闽)XK16-005-00094
福鼎市白琳博士眼镜店 (闽)XK16-005-00199
长乐吴航宝岛眼镜店 (闽)XK16-005-00164
泰宁县城关锦云宝岛眼镜店 (闽)XK16-005-00094
厦门市同安区东方阳光宝岛眼镜店 (闽)XK16-005-00175
福建省安溪县新华眼镜有限公司 (闽)XK16-005-00129
长乐市金峰宏新眼镜店 (闽)XK16-005-00170
德化县精益眼镜行 (闽)XK16-005-00077
福州市鼓楼区远近眼镜店 (闽)XK16-005-00202
石狮市佳美眼镜行 (闽)XK16-005-00134
闽清县梅城新宝岛眼镜店 (闽)XK16-005-00094
武平县光明眼镜行 (闽)XK16-005-00160
厦门市湖里区华昌眼镜行 (闽)XK16-005-00168
福建省安溪县龙门月亮宝岛眼镜店 (闽)XK16-005-00224
长汀县精益兆征眼镜店 (闽)XK16-005-00198
福建省安溪县湖头宝岛眼镜店 (闽)XK16-005-00224
龙岩市新罗区中城雪亮眼镜店 (闽)XK16-005-00220
福建宝岛眼镜（连锁）有限公司福州第五经营部 (闽)XK16-005-00094
福州友谊眼镜有限公司 (闽)XK16-005-00065
龙岩市新罗区中城新华眼镜店 (闽)XK16-005-00158
平潭县东方眼镜有限公司 (闽)XK16-005-00169
闽清县梅城镇新亨得利眼镜行 (闽)XK16-005-00094
厦门华视眼镜有限公司杏林分店 (闽)XK16-005-00176
安溪县凤城镇新安学生眼镜店 (闽)XK16-005-00129
长乐吴航日月眼镜行 (闽)XK16-117-00056
东山县西埔东方眼镜店 (闽)XK16-005-00089
平潭县城关浪标眼镜行 (闽)XK16-005-00169
闽侯县上街慧明眼镜店 (闽)XK16-005-00170
诏安县明视眼镜店 (闽)XK16-117-00058
福建宝岛眼镜（连锁）有限公司福州第四经营部 (闽)XK16-005-00094
厦门华视眼镜有限公司同安分店 (闽)XK16-005-00176
惠安县螺城宝岛眼镜店 (闽)XK16-005-00094
荔城区镇海视康眼镜行 (闽)XK16-005-00228
南安市金淘镇宝岛眼镜店 (闽)XK16-005-00094
厦门华视眼镜有限公司莲花分公司 (闽)XK16-005-00176
德化县新宝岛眼镜店 (闽)XK16-005-00078
福安市富民眼镜行 (闽)XK16-005-00171
福建宝岛眼镜（连锁）有限公司 (闽)XK16-005-00094
福州市鼓楼东方眼镜店 (闽)XK16-005-00225
厦门市集美区蓝雅宝岛眼镜店 (闽)XK16-005-00084
尤溪县华视眼镜店 (闽)XK16-005-00082
福州明视眼镜有限公司第九经营部 (闽)XK16-005-00170
龙岩市新罗区南方眼镜店 (闽)XK16-005-00203
霞浦县星晶明眼镜店 (闽)XK16-005-00245
福清市高山云彩眼镜店 (闽)XK16-005-00170
厦门市海沧区东方眼镜店(原名:厦门市海沧区东方云眼镜店) (闽)XK16-005-00216
平潭县城关明视眼镜城 (闽)XK16-005-00170
莆田市明益眼镜有限公司涵江分公司 (闽)XK16-005-00174
长乐吴航新富名眼镜店 (闽)XK16-005-00092
福州明视眼镜有限公司第六十一分店 (闽)XK16-005-00170
连锁22店（南安市洪濑宝岛眼镜店） (闽)XK16-005-00094
福鼎市桐山永明眼镜店 (闽)XK16-005-00138
福州利众眼镜有限公司 (闽)XK16-005-00222
福州市马尾区帝豪宝岛眼镜店 (闽)XK16-005-00094
武平县顺来眼镜行 (闽)XK16-005-00157
福州市鼓楼区宝岛眼镜八一七路店 (闽)XK16-005-00094
厦门华视眼镜有限公司前埔分店 (闽)XK16-005-00176
宁德市蕉城区蕉北好博伦眼镜店 (闽)XK16-005-00187
厦门华视眼镜有限公司平和分公司 (闽)XK16-005-00176
连锁211店（南安市官桥宝岛眼镜店） (闽)XK16-005-00094
东山县林辉贸易有限公司 (闽)XK16-005-00145
长泰县汕源眼镜行 (闽)XK16-005-00111
连锁368店（福建宝岛眼镜（连锁）有限公司福州第二经营部） (闽)XK16-005-00094
福州星宝岛眼镜有限公司 (闽)XK16-005-00156
平潭县城关明益眼镜店 (闽)XK16-005-00174
宁德市蕉城区蕉南博士眼镜店 (闽)XK16-005-00172
福州宝岛眼镜有限公司厦门第五经营部 (闽)XK16-005-00094
莆田市科视眼镜有限公司城厢高楼连锁店 (闽)XK16-005-00173
莆田市荔城区黄石镇宝岛眼镜店 (闽)XK16-005-00094
上杭县新宝岛眼镜店 (闽)XK16-005-00150
霞浦县环岛眼镜店 (闽)XK16-005-00223
城厢区康视眼镜店 (闽)XK16-005-00227
福建宝岛眼镜（连锁）有限公司福州第一经营部 (闽)XK16-005-00094
莆田市科视眼镜有限公司 (闽)XK16-005-00173
尤溪县康利眼镜尚行 (闽)XK16-005-00080
上杭县城区华光眼镜经营部 (闽)XK16-005-00143
宁德市蕉城区蕉南华视眼镜店 (闽)XK16-005-00200
福州宝岛眼镜有限公司厦门第四经营部 (闽)XK16-005-00094
泉港新华眼镜店 (闽)XK16-005-00129
永春县明杰光明眼镜商行 (闽)XK16-117-00055
福鼎市佳良眼镜店 (闽)XK16-005-00188
福州宝岛眼镜有限公司厦门第二经营部 (闽)XK16-005-00094
诏安县南诏红太阳眼镜店 (闽)XK16-005-00152
云霄县志辉宝岛眼镜店 (闽)XK16-005-00075
石狮市东方宝岛眼镜店 (闽)XK16-005-00094
丰泽区丰盈宝岛眼镜店 (闽)XK16-005-00094
南靖县山城镇宝岛眼镜店 (闽)XK16-005-00094
连锁111店(总公司名称：福建宝岛眼镜（连锁）有限公司) (闽)XK16-005-00094
三明市梅列区华视眼镜店 (闽)XK16-005-00247
漳州市芗城晶莹眼镜店 (闽)XK16-005-00066
厦门市翔安康明宝岛眼镜店 (闽)XK16-005-00094
平潭县城关光明眼镜店 (闽)XK16-005-00162
福清市江阴镇宝岛眼镜店 (闽)XK16-005-00094
石狮市宝岛眼镜永宁店 (闽)XK16-005-00094
武平县福选视力配镜中心 (闽)XK16-005-00130
莆田市秀屿区笏石明朗眼镜行 (闽)XK16-005-00232
厦门华视眼镜有限公司湖里分店 (闽)XK16-005-00176
莆田市涵江区江口明益眼镜第十经营部 (闽)XK16-005-00174
霞浦县星宝岛眼镜店 (闽)XK16-005-00243
东山县铜陵镇新月亮岛眼镜店 (闽)XK16-005-00090
诏安县南诏宝岛眼镜店 (闽)XK16-005-00090
泉州市鲤城中区小林眼镜店 (闽)XK16-117-00057
福州市马尾区亭江宝岛眼镜店 (闽)XK16-005-00094
福鼎市桐山宝岛眼镜店 (闽)XK16-005-00165
闽清县梅城新康视眼镜店 (闽)XK16-005-00094
福鼎市康视视眼镜店 (闽)XK16-005-00118
福州台江区新永晖眼镜店 (闽)XK16-005-00237
福鼎市视尚眼镜店 (闽)XK16-005-00190
荔城区镇海利祥眼镜店 (闽)XK16-005-00114
长乐吴航光明眼镜店 (闽)XK16-005-00197
南安市省新宝岛眼镜店 (闽)XK16-005-00094
福州市鼓楼区珍明世家眼镜商店 (闽)XK16-005-00094
厦门市集美区鹭宝岛眼镜店 (闽)XK16-005-00087
连锁197店（仙游县枫亭镇宝岛眼镜（连锁）店） (闽)XK16-005-00094
厦门直通车眼镜有限公司 (闽)XK16-005-00128
漳州市地球钟表眼镜有限公司 (闽)XK16-117-00044
莆田市涵江区江口供销合作社眼镜门市部 (闽)XK16-005-00233
福鼎市点头便民眼镜店 (闽)XK16-005-00192
莆田市荔城区黄石美红眼镜钟表店 (闽)XK16-005-00234
福州市马尾区东方眼镜店 (闽)XK16-005-00225
石狮市哈哈眼镜店 (闽)XK16-005-00124
闽侯县甘蔗雅视眼镜店 (闽)XK16-005-00201
石狮市宝湖亨得利眼镜店 (闽)XK16-005-00122
厦门市翔安千叶眼镜店 (闽)XK16-005-00246
福安市宝岛眼镜行 (闽)XK16-005-00094
晋江市罗山沃尔玛明视眼镜店 (闽)XK16-005-00170
福鼎市华星眼镜店 (闽)XK16-005-00147
大田县白龙眼镜店 (闽)XK16-005-00218
闽侯县甘蔗明视眼境店 (闽)XK16-005-00170
大田县新视宝岛眼镜店 (闽)XK16-005-00094
福鼎市益明眼镜店 (闽)XK16-005-00155
仙游县郊尾宝岛眼镜店 (闽)XK16-005-00094
屏南县康明眼镜行 (闽)XK16-005-00186
霞浦县晶明眼镜行 (闽)XK16-005-00245
连锁263店（漳浦县绥安宝岛眼镜店） (闽)XK16-005-00094
泉港宝岛眼镜店 (闽)XK16-005-00094
莆田市秀屿区笏石百亮眼镜店 (闽)XK16-005-00226
连锁170店（南安市仑苍镇宝岛眼镜店） (闽)XK16-005-00094
上杭城区东方宝岛眼镜行 (闽)XK16-005-00132
厦门宝岛眼镜有限公司漳州新华分公司 (闽)XK16-005-00075
福清市三山宝岛眼镜店 (闽)XK16-005-00094
长乐吴航明视眼镜城 (闽)XK16-005-00170
晋江市内坑镇宝岛眼镜店 (闽)XK16-005-00094
厦门华视眼镜有限公司嘉禾分店 (闽)XK16-005-00176
仙游县枫亭镇宝岛眼镜（连锁）店 (闽)XK16-005-00094
厦门华视眼镜有限公司海沧分店 (闽)XK16-005-00176
上杭县城区清攸眼镜店 (闽)XK16-005-00136
闽侯县尚干宝岛眼镜135分店 (闽)XK16-005-00094
福安市富民眼镜有限公司中兴分店(原:福安市华视眼镜行) (闽)XK16-005-00171
连锁275店（屏南县古峰镇宝岛眼镜商行） (闽)XK16-005-00094
平潭县城关宝岛第二眼镜店 (闽)XK16-005-00094
莆田市明益眼镜有限公司仙游鲤城分公司 (闽)XK16-005-00174
福清市融城新富名眼镜店 (闽)XK16-005-00092
长乐吴航东方眼镜店 (闽)XK16-005-00194
惠安县洛阳镇佐藤樱花眼镜店 (闽)XK16-005-00123
福建省安溪县官桥宝岛眼镜店 (闽)XK16-005-00224
莆田市明益眼镜有限公司 (闽)XK16-005-00174
惠安县螺城明朗眼镜店 (闽)XK16-005-00106
德化县瓷都眼镜店 (闽)XK16-005-00079
连锁273店（上杭宝岛眼镜店） (闽)XK16-005-00094
泉州市洛江区马甲华视眼镜店 (闽)XK16-005-00210
福鼎市康明眼镜店 (闽)XK16-005-00149
泉州市洛江区马甲亨得利眼镜店 (闽)XK16-005-00209
福州市鼓楼区宝岛眼镜店 (闽)XK16-005-00094
厦门市湖里区晴彩视窗眼镜店 (闽)XK16-005-00094
福鼎市博士眼镜沙埕连锁店 (闽)XK16-005-00199
龙海市石码益明眼镜运辉店 (闽)XK16-117-00059
长乐吴航日月眼镜行金峰分行 (闽)XK16-117-00056
福建省安溪县新华眼镜有限公司湖头营业部 (闽)XK16-005-00129
莆田市涵江区老荣记眼镜行 (闽)XK16-005-00231
泉州市鲤城区宝山眼镜店 (闽)XK16-117-00057
厦门市湖里区昌华眼镜行 (闽)XK16-005-00168
福州台江区宝岛眼镜店 (闽)XK16-005-00094
福州宝岛眼镜有限公司厦门第十二经营部 (闽)XK16-005-00094
晋江市池店镇意光眼镜店 (闽)XK16-117-00062
福州市晋安区谢腾达宝岛眼镜店 (闽)XK16-005-00094
永春县光明眼镜行 (闽)XK16-117-00055
惠安县螺城明视眼镜店 (闽)XK16-005-00107
尤溪县城关精益眼镜店 (闽)XK16-005-00081
惠安惠光眼科医院 (闽)XK16-005-00110
漳平市亨得利眼镜行 (闽)XK16-005-00219
德化县雅伦眼镜商行 (闽)XK16-005-00076
永定县凤城光明眼镜店眼镜店 (闽)XK16-005-00154
福鼎市富民眼镜店 (闽)XK16-005-00177
惠安县崇武富豪眼镜商行 (闽)XK16-005-00221
福州市仓山区爱眼眼镜店 (闽)XK16-005-00244
福鼎市好视眼镜店 (闽)XK16-005-00125
惠安县东园宝岛眼镜店 (闽)XK16-005-00094
福鼎市富明眼镜店 (闽)XK16-005-00127
莆田市秀屿区笏石忠良眼镜经销店 (闽)XK16-005-00174
厦门宝岛眼镜有限公司同安分公司 (闽)XK16-005-00075
寿宁县鳌阳镇亨得利眼镜行 (闽)XK16-005-00238
惠安县螺城明益眼镜商行 (闽)XK16-005-00109
周宁县狮城镇康明眼镜店 (闽)XK16-005-00242
安溪县凤城宝岛眼镜店 (闽)XK16-005-00094
惠安县东岭新视野眼镜行 (闽)XK16-005-00214
连锁238店（福清市渔溪宝岛眼镜店） (闽)XK16-005-00094
连锁219店（莆田市涵江区宝岛眼镜店） (闽)XK16-005-00094
莆田市明益眼镜有限公司仙游分公司 (闽)XK16-005-00174
厦门华视眼镜有限公司翔安分店 (闽)XK16-005-00176
沙县城关榕华眼镜店 (闽)XK16-005-00093
漳州市芗城区张洁眼镜店 (闽)XK16-005-00170
福州明视眼镜有限公司第八经营部 (闽)XK16-005-00170
永春县达埔伟视眼镜行 (闽)XK16-117-00050
福清市翁氏富民眼镜有限公司 (闽)XK16-005-00070
大田县舒视眼镜店 (闽)XK16-117-00060
闽侯县上街精益眼镜店 (闽)XK16-005-00068
福清市视佳眼镜有限公司 (闽)XK16-005-00069
福清市融城燕敏眼镜店 (闽)XK16-005-00737
厦门市湖里区益明兴眼镜店 (闽)XK16-005-00544
安溪县长坑景卫眼镜店 (闽)XK16-005-00470
福建省晋江青阳新华眼镜有限公司泉安分店 (闽)XK16-005-00487
长汀县南方眼镜行 (闽)XK16-005-00203
泰宁县光明眼镜店 (闽)XK16-005-00507
福州市台江区尚岛眼镜店 (闽)XK16-005-00711
福州市鼓楼区英伦眼镜店 (闽)XK16-005-00712
将乐县宝岛眼镜连锁全国183店 (闽)XK16-005-00094
惠安县辋川宝岛眼镜骆梅萍连锁店 (闽)XK16-005-00094
福清市明记眼镜经营部 (闽)XK16-005-00170
鲤城区智隆明视眼镜店 (闽)XK16-005-00170
武夷山市明视眼镜店 (闽)XK16-005-00170
莆田市荔城区明视眼镜胜利二店 (闽)XK16-005-00170
福鼎市秦屿明视眼镜店 (闽)XK16-005-00170
泉州市丰泽区照丽明视眼镜店 (闽)XK16-005-00170
建阳市明视眼镜店 (闽)XK16-005-00170
邵武市明视眼镜店 (闽)XK16-005-00170
长乐胜利宝岛眼镜店 (闽)XK16-005-00737
连江县凤城镇卢潮宝岛眼镜店 (闽)XK16-005-00737
三明市亨得利眼镜有限公司大田分店 (闽)XK16-117-00054
安溪县感德镇富明眼镜店 (闽)XK16-005-00470
福州宝岛眼镜有限公司长乐第一经营部（原名：长乐市吴航榕龙宝岛眼镜店） (闽)XK16-005-00094
福州市台江区创世眼镜店 (闽)XK16-005-00674
南安市洪濑镇雄伟明视眼镜店 (闽)XK16-005-00170
宁德市蕉城区蕉南真明视眼镜店 (闽)XK16-005-00170
厦门市同安区陈宁才眼镜店 (闽)XK16-005-00170
福州明视眼镜有限公司第七经营部 (闽)XK16-005-00170
南安市溪美武松明视眼镜店 (闽)XK16-005-00170
福州市晋安区佐田眼镜店 (闽)XK16-005-00673
福州市台江区王琴英伦眼镜店 (闽)XK16-005-00712
长乐市吴航中榕眼镜店 (闽)XK16-005-00133
台江区中榕眼镜店 (闽)XK16-005-00133
福州市鼓楼区中榕眼镜商行铜盘分店 (闽)XK16-005-00133
晋江市永和镇富民眼镜店 (闽)XK16-005-00700
晋江市青阳嘉城富民眼镜店 (闽)XK16-005-00471
龙岩市康月眼镜有限公司永定南门一米阳光眼镜店 (闽)XK16-005-00291
龙岩市康月眼镜有限公司长汀城关睛美眼镜店 (闽)XK16-005-00291
南安市石井镇延平大道华视眼镜店 (闽)XK16-005-00630
漳浦县佛昙镇爱眼城眼镜店 (闽)XK16-005-00647
厦门宝岛眼镜有限公司杏林分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司集美石鼓路分公司 (闽)XK16-005-00075
厦门市思明区雪亮眼镜店 (闽)XK16-005-00075
厦门市集美区兴顺鹭眼镜店 (闽)XK16-005-00265
福州市仓山区周小珍眼镜店 (闽)XK16-005-00265
漳州市芗城区鹭达眼镜店 (闽)XK16-005-00265
厦门市翔安区坤视眼镜店 (闽)XK16-005-00265
霞浦县明视眼镜店 (闽)XK16-005-00170
福安市豪杰明视眼镜城 (闽)XK16-005-00170
福州市鼓楼区中榕眼镜店 (闽)XK16-005-00133
